ISIN,Fonte,Data_Estrazione,Validazione,USA,Giappone,Regno_Unito,Francia,Germania,Svizzera,Canada,Paesi_Bassi,Australia,Danimarca,Svezia,Spagna,Taiwan,Corea_del_Sud,Cina,India,Irlanda,Hong_Kong,Singapore,Brasile,Altro
IE00BM67HS53,JustETF scraping,2026-05-31,OK,28.42,0.0,0.0,0.0,0.0,6.21,13.56,0.0,10.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.589999999999996
IE00BM67HM91,JustETF scraping,2026-05-31,OK,61.98,0.0,10.42,5.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
IE00BM67HV82,JustETF scraping,2026-05-31,OK,47.19,13.27,0.0,5.39,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.570000000000007
IE00BM67HQ30,JustETF scraping,2026-05-31,OK,60.55,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.549999999999997
IE00B5L01S80,JustETF scraping,2026-05-31,OK,62.33,9.43,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,19.75
IE00BM67HL84,JustETF scraping,2026-05-31,OK,50.42,6.31,5.31,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.86
IE00BM67HK77,JustETF scraping,2026-05-31,OK,67.78,4.06,6.2,0.0,0.0,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.650000000000006
IE00BM67HN09,JustETF scraping,2026-05-31,OK,64.36,4.5,6.27,0.0,0.0,6.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.659999999999997
IE00BM67HT60,JustETF scraping,2026-05-31,OK,86.02,3.1,0.0,0.0,1.2,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.579999999999998
IE00BM67HP23,JustETF scraping,2026-05-31,OK,73.05,9.9,0.0,3.53,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.560000000000002
IE00BM67HR47,JustETF scraping,2026-05-31,OK,80.09,6.67,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.039999999999992
